time,method,disease,prompt_tokens,completion_tokens,total_tokens,response_time
2026-03-11 20:41:08,baseline,早疫病,62,1043,1105,
2026-03-11 20:51:39,baseline,早疫病,62,1200,1262,
2026-03-11 20:52:35,prompt_opt,早疫病,41,359,400,
2026-03-11 20:53:09,rag,早疫病,35,29,64,
2026-03-11 20:54:10,prompt_opt,早疫病,41,418,459,
2026-03-13 19:11:48,prompt_opt,马铃薯早疫病,80,390,470,
2026-03-13 19:15:16,baseline,马铃薯早疫病,161,699,860,
2026-03-13 19:24:52,baseline,马铃薯早疫病,161,919,1080,
2026-03-13 19:25:04,baseline,马铃薯早疫病,161,856,1017,
2026-03-13 19:37:08,baseline,马铃薯早疫病,161,861,1022,
2026-03-13 19:48:23,rag,马铃薯早疫病,76,126,202,
2026-03-14 20:34:08,rag,马铃薯早疫病,76,86,162,
2026-03-14 20:46:58,rag,马铃薯早疫病,129,66,195,4.86
2026-03-14 20:52:23,rag,马铃薯早疫病,129,63,192,5.08
2026-03-14 20:52:39,rag,马铃薯早疫病,129,67,196,3.33
2026-03-14 20:57:46,rag,马铃薯早疫病,129,64,193,4.68
2026-03-14 21:04:11,rag,马铃薯早疫病,129,63,192,6.61
2026-03-14 21:05:19,rag,马铃薯早疫病,129,70,199,4.49
2026-03-14 21:05:59,rag,马铃薯早疫病,129,81,210,4.96
2026-03-14 21:28:25,rag,马铃薯早疫病,129,60,189,3.99
2026-03-14 21:28:35,rag,马铃薯早疫病,129,68,197,4.32
2026-03-14 21:39:23,马铃薯早疫病,129,61,190,6.09
2026-03-14 21:42:11,马铃薯早疫病,129,62,191,5.33
2026-03-14 21:42:31,马铃薯早疫病,129,63,192,4.5
2026-03-14 22:09:24,rag,Late_blight,162,965,1127,45.02
2026-03-14 22:15:46,rag,马铃薯晚疫病,356,496,852,24.76
2026-03-14 22:16:46,rag,马铃薯晚疫病,356,912,1268,43.52
2026-03-14 22:20:07,rag,Late_blight,149,728,877,35.35
2026-03-14 22:22:58,rag,Late_blight,149,482,631,23.16
2026-03-14 22:27:59,rag,Late_blight,149,1083,1232,46.27
2026-03-14 22:29:14,rag,Late_blight,149,634,783,27.56
2026-03-14 22:30:47,rag,Late_blight,149,569,718,27.89
2026-03-15 16:22:47,rag,Late_blight,149,566,715,40.93
2026-03-15 16:28:21,rag,Late_blight,149,585,734,31.13
2026-03-15 18:47:16,rag,Late_blight,149,690,839,31.22
2026-03-18 19:58:22,rag,Late_blight,149,872,1021,35.75
2026-03-18 20:19:27,rag,Late_blight,87,86,173,5.49
2026-03-18 20:49:15,rag+env,Potato Late Blight,148,67,215,4.31
2026-03-18 20:50:56,rag+env,Potato Late Blight,148,56,204,3.26
2026-03-18 20:54:32,rag+env+risk,Potato Late Blight,156,72,228,3.8
2026-03-18 20:55:20,rag+env+risk,Potato Late Blight,156,62,218,4.23
2026-03-18 20:58:26,rag+env+risk,Potato Late Blight,156,61,217,3.57
2026-03-18 21:08:35,rag+env+risk+norm,Potato Late Blight,258,68,326,3.95
2026-03-18 21:10:54,rag+env+risk+norm,Potato Late Blight,258,60,318,3.8
2026-05-10 17:40:42,rag+env+risk,early_blight,222,80,302,2.28
2026-05-10 17:47:12,rag+env+risk,early_blight,222,84,306,2.31
2026-05-10 17:54:18,rag+env+risk,early_blight,222,83,305,1.91
2026-05-10 18:06:52,rag+env+risk,early_blight,222,107,329,2.82
2026-05-10 18:07:12,rag+env+risk,late_blight,230,106,336,2.45
2026-05-10 18:07:59,rag+env+risk,late_blight,230,96,326,2.31
2026-05-10 18:35:41,rag+env+risk,late_blight,230,91,321,2.55
2026-05-10 18:36:00,rag+env+risk,early_blight,222,112,334,2.44
2026-05-10 18:36:25,rag+env+risk,late_blight,230,120,350,2.56
2026-05-10 18:52:19,rag+env+risk,late_blight,230,95,325,2.49
2026-05-10 19:04:19,rag+env+risk,late_blight,230,103,333,2.42
2026-05-10 19:08:41,rag+env+risk,early_blight,222,114,336,2.77
2026-05-10 19:09:27,rag+env+risk,early_blight,224,83,307,1.89
2026-05-10 19:11:32,rag+env+risk,early_blight,224,118,342,2.69
2026-05-10 19:12:11,rag+env+risk,early_blight,224,78,302,1.67
2026-05-10 19:12:41,rag+env+risk,early_blight,224,81,305,2.31
2026-05-10 19:13:20,rag+env+risk,late_blight,232,89,321,2.14
2026-05-10 19:15:26,rag+env+risk,late_blight,232,103,335,2.29
2026-05-10 19:16:24,rag+env+risk,late_blight,232,108,340,2.32
2026-05-10 20:34:14,rag+env+risk,late_blight,232,69,301,2.23
2026-05-17 20:45:39,rag+env+risk,late_blight,232,121,353,2.47
2026-05-17 20:45:52,rag+env+risk,late_blight,232,112,344,2.11
2026-05-17 20:46:32,rag+env+risk,late_blight,232,101,333,1.94
2026-05-17 20:46:56,rag+env+risk,late_blight,232,97,329,1.79
2026-05-17 20:48:01,rag+env+risk,late_blight,232,90,322,1.75
2026-05-17 20:48:22,rag+env+risk,late_blight,232,107,339,2.36
2026-05-17 20:48:37,rag+env+risk,late_blight,232,89,321,1.47
2026-05-17 20:49:14,rag+env+risk,early_blight,224,134,358,2.31
2026-05-17 20:51:09,rag+env+risk,early_blight,224,100,324,2.35
2026-05-17 20:51:55,rag+env+risk,early_blight,224,122,346,2.08
2026-05-17 20:53:26,rag+env+risk,early_blight,224,99,323,1.91
2026-05-17 20:53:57,rag+env+risk,late_blight,232,99,331,1.48
2026-05-17 21:09:11,rag+env+risk,late_blight,232,90,322,1.59
2026-05-23 17:15:36,rag+env+risk,late_blight,232,85,317,3.25
2026-05-23 17:15:48,rag+env+risk,early_blight,224,83,307,1.42
2026-05-23 17:21:29,rag+env+risk,early_blight,224,78,302,2.55
2026-05-23 17:21:40,rag+env+risk,early_blight,224,103,327,1.54
2026-05-23 17:24:16,rag+env+risk,late_blight,232,104,336,2.72
2026-05-23 17:27:14,rag+env+risk,late_blight,232,97,329,2.67
2026-05-23 17:27:36,rag+env+risk,late_blight,232,71,303,1.26
2026-05-23 17:35:22,rag+env+risk,late_blight,232,96,328,2.59
2026-05-23 17:35:41,rag+env+risk,late_blight,232,100,332,1.84
2026-05-23 17:47:19,rag+env+risk,early_blight,224,98,322,2.35
2026-05-23 17:54:01,rag+env+risk,early_blight,224,78,302,2.17
2026-05-23 17:54:18,rag+env+risk,late_blight,232,75,307,1.49
2026-05-23 17:56:14,rag+env+risk,late_blight,232,78,310,1.3
2026-05-23 17:56:41,rag+env+risk,early_blight,224,76,300,1.51
2026-05-29 23:35:45,rag+env+risk,late_blight,266,220,486,12.61
2026-05-29 23:36:09,rag+env+risk,early_blight,255,220,475,9.76
2026-05-30 18:47:07,rag+env+risk,early_blight,252,220,472,5.38
2026-05-30 18:47:08,rag+env+risk,early_blight,252,220,472,10.6
2026-05-30 18:47:28,rag+env+risk,early_blight,252,220,472,5.43
2026-05-30 18:47:34,rag+env+risk,early_blight,252,220,472,5.66
2026-05-30 18:48:05,rag+env+risk,early_blight,252,220,472,7.8
2026-05-30 18:53:10,rag+env+risk,early_blight,252,220,472,9.16
2026-05-30 18:57:16,rag+env+risk,early_blight,252,220,472,10.95
2026-05-30 19:02:04,rag+env+risk,early_blight,252,220,472,10.27
2026-05-30 19:02:54,rag+env+risk,early_blight,255,220,475,7.1
2026-05-30 19:08:32,rag+env+risk,early_blight,255,911,1166,23.16
2026-05-30 19:09:01,rag+env+risk,early_blight,255,461,716,12.31
2026-05-30 19:09:36,rag+env+risk,early_blight,255,463,718,12.08
2026-05-30 19:10:43,workflow_step,early_blight,196,1229,1425,32.3
2026-05-30 19:11:26,workflow_step,early_blight,215,1138,1353,26.61
2026-05-30 19:12:18,workflow_step,early_blight,232,1408,1640,36.5
2026-05-30 23:30:45,rag+env+risk,early_blight,255,439,694,13.79
2026-05-30 23:31:33,rag+env+risk,early_blight,255,850,1105,20.6
2026-05-30 23:31:50,rag+env+risk,early_blight,255,1633,1888,36.86
2026-05-30 23:33:11,workflow_step,early_blight,214,1023,1237,24.18
2026-05-30 23:33:52,workflow_step,early_blight,239,689,928,17.84
2026-05-30 23:34:47,workflow_step,early_blight,263,1057,1320,26.83
2026-06-09 15:22:17,rag+env+risk,early_blight,254,520,774,19.14
2026-06-09 15:28:00,workflow_step,early_blight,203,1078,1281,33.1
2026-06-09 15:29:10,workflow_step,early_blight,228,1097,1325,35.77
2026-06-09 15:30:11,workflow_step,early_blight,254,880,1134,26.77
2026-06-09 15:31:03,workflow_step,early_blight,274,1258,1532,39.99
2026-06-09 16:35:51,workflow_step,early_blight,203,893,1096,29.7
2026-06-09 16:37:20,workflow_step,early_blight,237,1346,1583,56.42
2026-06-09 16:38:10,workflow_step,early_blight,255,1235,1490,43.71
